time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19
1548398015.3598406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0
1548398016.0059998,-5.91,-0.36,-7.68,0.0,-0.375,-0.125,352.9375,-37.5625,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
1548398016.6500282,-5.95,-0.38,-7.63,0.0,-0.625,0.0,352.9375,-37.875,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1548398017.3010826,-6.09,-0.38,-7.63,0.0,-0.9375,-0.0625,352.9375,-38.5,177.1875,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1548398017.9470878,-6.11,-0.39,-7.62,0.0,0.0,-0.0625,352.9375,-38.75,177.1875,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548398018.5909958,-6.13,-0.36,-7.63,0.0,0.125,-0.0625,352.9375,-38.75,177.1875,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1548398019.2421498,-6.11,-0.34,-7.62,-0.3125,0.3125,-0.125,352.875,-38.75,177.1875,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548398019.888714,-6.17,-0.39,-7.63,0.3125,-0.25,-0.0625,352.875,-38.75,177.1875,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1548398020.5363572,-6.14,-0.34,-7.59,-0.125,-0.1875,0.0625,352.9375,-38.6875,177.1875,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
1548398021.1798828,-6.13,-0.4,-7.62,0.125,0.0,0.0625,352.9375,-38.6875,177.1875,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1548398021.8298163,-6.12,-0.38,-7.65,-0.125,-0.3125,-0.125,352.9375,-38.6875,177.1875,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548398022.481042,-6.13,-0.36,-7.62,-0.0625,0.4375,0.0,352.875,-38.6875,177.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
1548398023.1320403,-6.14,-0.35,-7.61,-0.125,-0.0625,0.0625,352.875,-38.6875,177.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,14.0
1548398023.7795272,-6.11,-0.35,-7.63,0.4375,-0.4375,0.125,352.875,-38.6875,177.25,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
1548398024.4273386,-6.1,-0.37,-7.62,-0.1875,-0.0625,0.0625,352.875,-38.8125,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1548398025.073563,-6.14,-0.36,-7.62,0.0625,-0.6875,0.125,352.875,-38.875,177.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548398025.7212348,-6.12,-0.36,-7.62,0.25,-0.125,0.0625,352.875,-38.9375,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1548398026.3722847,-6.1,-0.34,-7.63,0.0625,0.1875,0.0625,352.875,-38.9375,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1548398027.0235062,-6.13,-0.38,-7.62,-0.0625,-0.375,0.0625,352.875,-38.9375,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
1548398027.6671863,-6.14,-0.35,-7.62,-0.0625,1.0,0.0625,352.875,-38.9375,177.1875,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
1548398028.3144274,-6.14,-0.35,-7.6,0.0625,0.4375,0.0,352.875,-38.875,177.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
1548398028.9644544,-6.11,-0.37,-7.61,0.0625,-0.25,0.0,352.875,-38.6875,177.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
1548398029.615534,-6.14,-0.37,-7.65,-0.5625,0.125,0.0625,352.875,-38.6875,177.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
1548398030.2634635,-6.14,-0.36,-7.6,-0.125,0.0,0.125,352.875,-38.75,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
1548398030.9146845,-6.14,-0.35,-7.62,-0.0625,1.0,-0.0625,352.875,-38.75,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
1548398031.5620325,-6.12,-0.35,-7.61,0.125,1.125,-0.0625,352.875,-38.6875,177.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548398032.2091594,-6.14,-0.38,-7.6,0.25,-0.5,0.0,352.875,-38.625,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1548398032.859447,-6.13,-0.38,-7.61,-0.125,0.25,-0.0625,352.875,-38.6875,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548398033.510691,-6.14,-0.34,-7.61,-0.1875,0.5625,0.0625,352.875,-38.6875,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1548398034.1580145,-6.14,-0.36,-7.61,0.0,0.1875,-0.125,352.875,-38.625,177.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1548398034.8050086,-6.13,-0.36,-7.61,0.0,0.375,0.0,352.875,-38.625,177.25,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1548398035.4564948,-6.15,-0.34,-7.6,-0.625,-0.25,0.0,352.875,-38.625,177.3125,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548398036.1041877,-6.14,-0.34,-7.6,0.0625,0.3125,-0.0625,352.875,-38.625,177.3125,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
1548398036.755066,-6.11,-0.36,-7.65,-0.125,0.5,0.0,352.875,-38.625,177.3125,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
1548398037.4066687,-6.13,-0.37,-7.65,-0.5,-0.5,-0.0625,352.875,-38.6875,177.3125,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
