time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19
1544002127.8270824,-1.35,9.72,0.0625,0.125,-0.0625,353.6875,2.5625,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002127.832629,0.49,-1.35,9.72,0.0625,0.125,-0.0625,353.6875,2.5625,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002127.8380961,0.49,-1.35,9.72,0.0625,0.125,-0.0625,353.6875,2.5625,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002130.1781628,0.38,-1.28,9.39,0.0625,-0.0625,-0.0625,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002130.8130894,0.38,-1.26,9.36,0.0,0.1875,0.0,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002131.4474006,0.36,-1.25,9.32,0.1875,-0.125,0.0625,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002132.0818782,0.36,-1.26,9.32,-0.0625,0.25,0.0,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002132.7207434,0.36,-1.25,9.37,-0.125,-0.0625,0.125,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002133.3522544,0.36,-1.26,9.36,0.0625,-0.0625,0.0,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002133.991589,0.36,-1.25,9.34,-0.0625,0.0625,-0.0625,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002134.6254342,0.33,-1.26,9.32,-0.0625,0.0,0.0,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002135.2607086,0.37,-1.27,9.31,-0.125,0.125,0.0625,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002135.8947706,0.39,-1.27,9.35,0.0625,-0.0625,0.0,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002136.5263407,0.38,-1.27,9.36,0.1875,0.1875,0.0625,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002137.165355,0.36,-1.25,9.36,0.0,0.1875,-0.0625,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002137.795428,0.38,-1.25,9.33,0.0625,0.0,0.0,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002138.4345887,0.37,-1.25,9.32,0.0625,0.0,0.0,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002139.0687704,0.36,-1.24,9.3,0.125,-0.375,-0.125,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002139.7044318,0.38,-1.26,9.34,0.0,-0.0625,-0.0625,359.9375,2.25,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002140.3433602,0.38,-1.24,9.38,0.125,0.0,-0.0625,359.9375,2.3125,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002140.9812121,0.37,-1.27,9.36,-0.125,0.0,0.0,359.9375,2.3125,7.625,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002141.6169927,0.4,-1.23,9.33,0.0625,0.0,0.0625,359.9375,2.3125,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002142.252296,0.39,-1.26,9.33,-0.125,-0.125,0.0,359.9375,2.3125,7.625,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002142.8900986,0.38,-1.26,9.35,0.0625,0.0,0.0,359.9375,2.3125,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002143.5253828,0.38,-1.26,9.34,0.0,-0.1875,0.0625,359.9375,2.3125,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002144.16065,0.38,-1.26,9.36,0.1875,0.1875,0.0,359.9375,2.3125,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002144.7987266,0.35,-1.27,9.32,0.0625,-0.75,0.0,359.9375,2.3125,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
1544002145.4380865,0.37,-1.26,9.34,-0.0625,-0.5,0.0,359.9375,2.375,7.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544002146.0774531,0.36,-1.25,9.39,-0.125,-0.1875,0.0,359.9375,2.375,7.625,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
