time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19
1544528230.0048435,-33.375,23.3125,-4.5,210.0,-1.8125,176.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528230.0105886,0.7,0.11,-13.08,-33.375,23.3125,-4.5,210.0,-1.8125,176.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528230.016209,0.7,0.11,-13.08,-33.375,23.3125,-4.5,210.0,-1.8125,176.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528232.3771136,5.35,-0.59,-8.23,3.625,-5.375,0.875,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528233.0116982,5.06,-0.69,-8.33,3.0625,-2.9375,-0.3125,9.5625,30.375,175.375,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528233.6510336,4.97,-0.78,-8.38,-0.5,0.8125,-0.25,9.4375,30.25,174.8125,0.03,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528234.2940984,4.97,-0.8,-8.42,-0.125,0.3125,-0.125,9.4375,30.25,174.6875,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528234.928549,5.0,-0.79,-8.42,0.125,0.125,0.0,9.4375,30.1875,174.6875,0.04,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528235.57168,4.97,-0.77,-8.39,-1.5,0.6875,-0.5,9.4375,30.25,174.8125,0.03,0.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528236.2102857,5.02,-0.74,-8.4,-0.25,0.0625,-0.0625,9.4375,30.3125,174.875,0.03,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528236.8497896,5.01,-0.78,-8.36,-0.1875,0.0625,0.0625,9.4375,30.3125,174.875,0.03,0.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528237.492799,5.06,-0.72,-8.33,-0.3125,-0.125,0.0625,9.4375,30.5625,174.875,0.03,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528238.1311111,5.06,-0.74,-8.36,-0.1875,-0.25,-0.125,9.4375,30.5625,174.875,0.03,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528238.769792,5.7,-0.11,-8.19,-39.125,13.1875,-13.8125,9.4375,35.125,178.375,0.03,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528239.4167156,4.97,0.75,-8.33,5.6875,7.0625,-0.4375,11.4375,29.625,-173.75,0.03,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528240.0606203,5.05,0.76,-8.42,-1.0,-1.25,-0.25,11.125,30.6875,-174.4375,0.03,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528240.6992762,5.06,0.78,-8.31,0.375,0.1875,0.0625,11.25,30.625,-174.1875,0.04,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528241.3429196,5.02,0.79,-8.28,-0.4375,-0.125,-0.0625,11.25,30.625,-174.25,0.03,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528241.9891763,5.02,0.79,-8.31,0.125,-0.1875,0.125,11.3125,30.625,-174.1875,0.03,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528242.6329958,5.03,0.84,-8.28,-0.1875,-0.0625,-0.125,11.3125,30.625,-174.1875,0.03,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528243.27547,5.0,0.84,-8.35,0.25,0.125,0.125,11.3125,30.625,-174.1875,0.03,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528243.9182265,5.0,0.83,-8.37,-0.375,0.3125,-0.125,11.25,30.625,-174.1875,0.04,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528244.561724,5.02,0.88,-8.32,0.375,0.0625,-0.0625,11.25,30.6875,-174.1875,0.04,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528245.2090414,4.99,0.91,-8.31,0.25,-0.125,-0.0625,11.25,30.6875,-174.1875,0.03,0.0,0.0,115.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528245.8478665,4.99,0.89,-8.31,0.1875,0.125,0.0,11.3125,30.625,-174.1875,0.03,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528246.491057,4.97,0.95,-8.32,-0.4375,-0.125,-0.0625,11.25,30.625,-174.1875,0.03,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528247.13331,5.01,0.95,-8.36,0.1875,0.25,0.0,11.25,30.625,-174.1875,0.04,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528247.7729855,4.99,0.97,-8.34,0.125,-0.125,0.125,11.25,30.625,-174.1875,0.04,0.0,0.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528248.4151473,4.97,0.97,-8.33,0.0625,0.125,-0.0625,11.25,30.625,-174.25,0.04,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528249.0549173,4.98,0.99,-8.31,-0.0625,0.125,0.0,11.25,30.625,-174.25,0.04,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528249.6972165,4.96,1.0,-8.31,0.0,0.0625,0.0,11.25,30.625,-174.25,0.03,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528250.3447425,4.96,1.01,-8.36,-0.1875,-0.375,-0.125,11.25,30.625,-174.25,0.03,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528250.9874837,4.96,1.03,-8.4,-0.125,0.375,-0.0625,11.25,30.625,-174.25,0.03,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528251.6308422,5.1,0.78,-8.36,7.6875,6.625,1.5625,11.0625,31.5,-174.875,0.03,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528252.2746933,4.83,0.23,-8.47,-17.0,-37.9375,-5.1875,10.3125,29.875,179.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528252.9168124,4.81,-0.62,-8.37,2.0625,-0.25,0.25,10.25,29.1875,175.125,0.04,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528253.5564961,4.84,-0.75,-8.39,1.125,-1.4375,0.3125,9.875,29.125,174.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528254.1946087,4.74,-0.9,-8.46,0.9375,-0.5625,0.25,9.75,29.0,173.625,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528254.8338833,4.74,-0.93,-8.58,0.6875,0.5625,0.0,9.6875,29.125,173.3125,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528255.473321,4.77,-0.96,-8.53,0.375,-0.8125,0.1875,9.6875,29.125,173.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528256.1113348,4.78,-1.05,-8.56,0.5,-0.375,0.0625,9.6875,29.125,173.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528256.7546413,4.76,-1.07,-8.54,0.125,0.375,-0.125,9.6875,29.0625,173.25,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528257.3893747,4.82,-1.11,-8.53,0.0,0.0,0.0,9.6875,29.0625,173.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528258.0326455,4.76,-1.12,-8.54,-0.0625,0.25,-0.0625,9.6875,29.0625,173.25,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528258.671129,4.75,-1.16,-8.54,0.3125,-0.1875,0.0625,9.6875,29.0625,173.25,0.04,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528259.3108983,4.74,-1.16,-8.56,-0.25,0.0,0.0625,9.625,29.0625,173.1875,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528259.949161,4.77,-1.19,-8.54,-0.0625,0.1875,0.0,9.625,29.0625,173.1875,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528260.5886352,4.71,-1.23,-8.53,0.0,-0.375,-0.0625,9.75,29.0,172.9375,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528261.2278771,4.73,-1.21,-8.52,-0.125,0.25,-0.0625,9.75,28.9375,172.75,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528261.8708584,4.69,-1.24,-8.53,-0.0625,0.1875,-0.0625,9.75,28.875,172.6875,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528262.5052722,4.71,-1.24,-8.53,0.0,0.125,0.0,9.75,28.875,172.6875,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528263.1445854,4.68,-1.26,-8.56,-0.125,0.375,-0.0625,9.8125,28.75,172.4375,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528263.7866604,4.7,-1.25,-8.58,0.125,-0.0625,-0.0625,9.875,28.6875,172.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528264.4263647,4.67,-1.28,-8.58,-0.125,0.25,-0.0625,9.875,28.6875,172.25,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544528265.0645895,4.7,-1.29,-8.54,0.1875,0.125,0.125,9.875,28.6875,172.25,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
