accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
-1.66,-0.26,-9.65,0.125,0,0.125,8.0625,-9.4375,178.5,-1
-1.66,-0.27,-9.78,0.125,-0.125,0,8.0625,-9.4375,178.5,-1
-1.47,-0.35,-9.66,0.0625,1.5,-0.375,8.0625,-8.5,178.375,0
-1.48,-0.33,-9.73,-0.125,0.125,-0.125,8.0625,-8.3125,178.375,0
-1.71,-0.12,-9.42,0.75,-0.75,-0.0625,8.8125,-9.5625,179.25,0
-1.77,-0.67,-9.15,-0.3125,0.75,-0.25,8.3125,-9.4375,178.5625,0
-1.17,0,-9.89,3.375,7.6875,-2.9375,8.875,-7.5625,178.4375,0
-1.38,-0.35,-9.78,-0.9375,0.3125,0.375,9.125,-7.9375,177.8125,0
-1.11,-0.26,-9.72,2.5,8,-3.3125,9,-7.4375,178.125,0
-1.18,-0.43,-9.85,-0.25,0,0,8.8125,-6.9375,177.9375,0
-1.19,-0.41,-9.67,0.1875,-0.25,0.0625,8.8125,-6.9375,177.875,0
-1.23,-0.39,-9.58,-0.9375,-0.3125,0.25,8.8125,-7,177.8125,0
-1.24,-0.38,-9.68,-0.3125,-1.4375,0.125,8.8125,-7.4375,177.9375,0
-1.24,-0.42,-9.82,-0.4375,1.25,-0.5,8.8125,-7.3125,177.9375,0
-1.21,-0.38,-9.77,-0.1875,0.1875,-0.0625,8.8125,-7.3125,177.9375,0
-1.22,-0.4,-9.71,-0.0625,-0.0625,-0.125,8.8125,-7.3125,177.9375,0
-1.2,-0.39,-9.7,0,-0.1875,0.0625,8.8125,-7.3125,177.9375,0
-1.19,-0.38,-9.74,0.0625,-0.25,0.0625,8.8125,-7.3125,177.9375,0
-1.21,-0.41,-9.69,0,0.25,-0.125,8.8125,-7.3125,177.875,0
-1.12,-0.4,-9.76,0.0625,0.9375,-0.3125,8.8125,-7.25,177.875,0
-1.14,-0.43,-9.83,-0.1875,-0.6875,0.1875,8.8125,-7.3125,177.8125,0
-1.16,-0.42,-9.72,0.25,0,-0.3125,8.8125,-7.4375,177.8125,0
-1.16,-0.39,-9.78,0.1875,-0.125,-0.0625,8.8125,-7.4375,177.8125,0
