accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
1.01,1.05,-9.76,-0.0625,0.0625,-0.1875,271.4375,6.125,-173.9375,0
1,1.04,-9.73,0,-0.125,0,271.4375,6.125,-173.9375,0
1,1.02,-9.9,-0.0625,-0.0625,0.125,271.4375,6.125,-173.9375,0
1.01,1.03,-9.75,0.0625,0,-0.0625,271.4375,6.125,-173.9375,0
1.01,1.02,-9.81,0,-0.0625,0,271.4375,6.125,-173.9375,0
1,1.02,-9.74,0.125,0,0.125,271.4375,6.125,-173.9375,0
0.99,1.05,-9.74,-0.1875,-0.1875,0.1875,271.4375,6.125,-173.9375,0
1.01,1.02,-9.84,-0.0625,0.125,0.0625,271.4375,6.125,-173.9375,0
1,1.03,-9.75,0.0625,0.0625,-0.0625,271.4375,6.125,-173.9375,0
1.01,1.03,-9.72,-0.0625,0,-0.0625,271.4375,6.125,-173.9375,0
1,1.03,-9.83,0.125,0.125,-0.125,271.4375,6.125,-173.9375,0
0.99,1.02,-9.73,-0.0625,0.0625,0,271.4375,6.125,-173.9375,0
1,1.02,-9.79,-0.0625,0,-0.1875,271.4375,6.125,-173.9375,0
1.01,1.01,-9.77,0.0625,-0.125,0,271.4375,6.125,-173.9375,0
1.01,1.03,-9.74,0.125,-0.125,0,271.4375,6.125,-173.9375,0
1.01,1.04,-9.83,-0.125,-0.125,0,271.4375,6.125,-173.9375,0
1.01,1.04,-9.73,0.0625,-0.0625,0,271.4375,6.125,-173.9375,0
1.01,1.02,-9.77,-0.0625,0.25,-0.0625,271.4375,6.125,-173.9375,0
1.01,1.02,-9.85,0.25,0.0625,0.0625,271.4375,6.125,-173.9375,0
1,1.02,-9.74,0.0625,-0.0625,-0.0625,271.4375,6.125,-173.9375,0
1.01,1.05,-9.76,0.0625,-0.125,-0.0625,271.4375,6.125,-173.9375,0
1.01,1.04,-9.72,-0.125,0,0.0625,271.4375,6.125,-173.9375,0
1,1.02,-9.73,0,-0.1875,0,271.4375,6.125,-173.9375,0
1.02,1.03,-9.83,0.0625,0,0.0625,271.4375,6.125,-173.9375,0
1.01,1,-9.73,-0.1875,0.1875,0.0625,271.4375,6.125,-173.9375,0
1,1.02,-9.79,0,0.125,0,271.4375,6.125,-173.9375,0
1.03,1,-9.83,-0.375,0.75,0,271.4375,6.1875,-173.875,0
1.15,0.78,-9.79,0.9375,2.1875,-0.125,271.4375,6.625,-174.0625,0
