time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19
1544614567.9777703,20.375,-176.8125,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614570.317321,4.86,-0.34,-8.67,1.125,-0.375,0.375,0.0,0.0,0.0,0.04,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614570.9566314,4.94,-0.34,-8.66,0.1875,-0.1875,0.0625,7.8125,29.875,177.5625,0.03,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614571.60379,4.17,2.21,-9.3,-18.9375,-15.3125,-2.0625,9.25,25.75,-167.5,0.04,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614572.2391684,4.37,1.5,-8.72,0.5,0.4375,0.1875,9.3125,26.5625,-170.0,0.04,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
1544614572.8772528,4.57,1.06,-8.67,8.1875,8.0625,1.375,9.0625,27.75,-172.4375,0.05,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614573.5168433,4.7,0.92,-8.59,2.0,-0.25,0.3125,8.75,28.5,-173.25,0.04,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614574.1559958,4.92,0.81,-8.38,1.25,1.5,0.5,8.625,29.125,-173.875,0.04,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
1544614574.7980332,4.93,0.86,-8.7,0.625,0.5,0.1875,8.625,29.3125,-174.0625,0.04,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614575.437523,4.31,0.75,-8.67,13.25,-37.4375,-3.75,8.5,25.1875,-175.125,0.04,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614576.0759547,3.27,-0.33,-9.07,1.625,0.1875,0.25,6.875,18.8125,177.9375,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614576.7151067,3.29,-0.6,-9.23,0.6875,0.6875,0.3125,6.6875,19.1875,176.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614577.350487,3.22,-0.71,-9.29,0.625,0.75,0.125,6.5625,18.875,175.8125,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614577.985139,3.13,-0.72,-9.26,0.4375,1.5625,0.0625,6.5,18.5,175.6875,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614578.624413,3.2,-0.83,-9.25,0.25,-0.125,0.0625,6.5,18.5625,175.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544614579.26374,3.14,-0.88,-9.27,0.5,-0.25,0.0,6.4375,18.5,175.3125,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
