accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
-1.6,-0.13,-9.43,0.125,0,-0.1875,320.1875,-9.5,178.75,-1
-1.61,-0.17,-9.49,-0.125,0.5,-0.125,320.1875,-9.5,178.75,-1
-1.62,-0.16,-9.42,-0.0625,-0.0625,0,320.1875,-9.5,178.75,-1
-1.61,-0.14,-9.44,-0.0625,-0.0625,0.125,320.1875,-9.5,178.75,-1
-1.6,-0.12,-9.46,-0.125,0.0625,0.0625,320.1875,-9.5,178.75,-1
-1.59,-0.15,-9.53,0,0,0.0625,320.1875,-9.5,178.75,-1
-1.59,-0.12,-9.41,0,0,0,320.1875,-9.5,178.75,-1
-1.63,-0.16,-9.39,0.0625,0,0,320.1875,-9.5,178.75,-1
-1.61,-0.15,-9.49,0.0625,0.0625,-0.0625,320.1875,-9.5,178.75,-1
-1.6,-0.13,-9.46,-0.125,0,0,320.1875,-9.5,178.75,-1
-1.6,-0.16,-9.4,-0.0625,-0.0625,-0.0625,320.1875,-9.5,178.75,-1
-1.64,-0.16,-9.44,0.1875,0,-0.0625,320.1875,-9.5,178.75,-1
-1.61,-0.14,-9.49,-0.0625,0.0625,0,320.1875,-9.5,178.75,-1
-1.62,-0.15,-9.43,-0.125,0.0625,-0.25,320.1875,-9.5,178.75,-1
-1.62,-0.17,-9.4,-0.125,0.0625,0,320.1875,-9.5,178.75,-1
-1.61,-0.13,-9.46,0.0625,0,0.0625,320.1875,-9.5,178.75,-1
-1.61,-0.16,-9.5,0.0625,0.0625,0,320.1875,-9.5,178.75,-1
-1.62,-0.14,-9.43,0,0,0,320.1875,-9.5,178.75,-1
-1.62,-0.14,-9.42,-0.125,-0.125,0.0625,320.1875,-9.5,178.75,-1
-1.6,-0.14,-9.44,-0.0625,0.125,-0.0625,320.1875,-9.5,178.75,-1
-1.6,-0.14,-9.41,-0.0625,-0.0625,0,320.1875,-9.5,178.75,-1
-1.61,-0.14,-9.39,-0.0625,-0.0625,0.0625,320.1875,-9.5,178.75,-1
-1.61,-0.14,-9.43,0.0625,0,0.0625,320.1875,-9.5,178.75,-1
-1.61,-0.19,-9.5,0,-0.3125,0,320.1875,-9.5,178.75,-1
-1.61,-0.13,-9.42,0.125,-0.0625,0.125,320.1875,-9.5,178.75,-1
-1.64,-0.13,-9.39,0.0625,-0.0625,0.0625,320.1875,-9.5,178.75,-1
-1.64,-0.16,-9.49,-0.1875,-0.0625,0.1875,320.1875,-9.5,178.75,-1
-1.63,-0.14,-9.49,0.125,0,-0.0625,320.1875,-9.5,178.75,-1
-1.62,-0.15,-9.42,0,0,-0.0625,320.1875,-9.5,178.75,-1
